SMILES,Tg,density(g/cm3),1E,2E,4E,1iso,2iso,4iso,1w,2w,4w,1V,2V,4V,1D,2D,4D,1HOMO,1LUMO,1gap,2HOMO,2LUMO,2gap,4HOMO,4LUMO,4gap,num
C([*])C([*])(C)(C(=O)OC1CCCC1),348,1.07,-35.60177572,-70.20674294,-139.3959588,68.68866404,135.717239,270.4500961,156.2179,310.4199,618.8239,238.900223,403.548309,739.092896,0.6558,0.7692,0.8373,-10.61308225,0.926246986,11.53932924,-10.443363,0.969361333,11.41272433,-10.35658636,0.821038638,11.177625,acrylate_046
C([*])C([*])(C(=O)OCCCCCCCCCCCC),270,0.96,-55.59494617,-110.1919614,-219.3851393,108.24324,215.3051038,432.2753702,242.3898,482.7639,963.5119,370.253723,676.849304,1272.82666,0.657,0.7133,0.757,-10.77254993,0.889413065,11.66196299,-10.66813684,0.757071102,11.42520794,-10.67388289,0.573391104,11.247274,acrylate_047
C([*])C([*])(C)(C(=O)OCCCCCCCCCCCC),208,0.96,-58.76143266,-116.5244741,-232.0409784,114.9296647,227.6918801,457.9043306,256.4158,510.8159,1019.6159,392.751556,716.289856,1330.985107,0.6557,0.7132,0.7661,-10.63742417,0.912275319,11.54969948,-10.44200989,0.848992048,11.29100194,-10.55403864,0.700290278,11.25432891,acrylate_048
C([*])C([*])(C(=O)OCc1ccco1),321,1.27,-34.42832812,-67.85881928,-134.7178268,70.56687177,135.6908123,269.138134,154.16,306.3039,610.592,173.147354,315.723816,578.149231,0.8904,0.9702,1.0561,-9.536423407,0.225182273,9.76160568,-9.311465221,0.351724903,9.663190124,-9.239913219,0.225970476,9.465883695,acrylate_051
C([*])C([*])(C(=O)OCC1CO1),347,1.08,-30.12915648,-59.26030737,-117.5136847,53.06565332,105.1325665,208.7660098,130.14,258.2639,514.512,162.15007,276.987183,507.89975,0.8063,0.9325,1.0131,-10.49296239,0.56973299,11.06269538,-10.2583229,0.410947709,10.66927061,-10.31978864,0.21236508,10.53215372,acrylate_052
C([*])C([*])(C(=O)OCCCCCCC),213,1.01,-39.7728697,-78.54726656,-156.0942868,74.99697002,149.7704886,299.320603,172.2599,342.5038,682.9919,259.980682,476.35965,880.895142,0.6645,0.7193,0.7754,-10.79237056,0.912530508,11.70490107,-10.65497214,0.840023261,11.4949954,-10.64587292,0.650485863,11.29635878,acrylate_053
C([*])C([*])(C(=O)OCCCCCCCCCCCCCCCC),308,0.94,-68.25347706,-135.5086428,-270.0264558,134.6262208,267.4589849,534.8592761,298.4938,594.9719,1187.9368,444.875427,828.959839,1559.781494,0.6741,0.7178,0.7616,-10.67712084,0.88526046,11.5623813,-10.63427047,0.721541605,11.35581207,-10.54359336,0.597099022,11.14069238,acrylate_054
C([*])C([*])(C(=O)OCCCCCC),216,1.03,-36.60870833,-72.21696637,-143.4359382,68.57051037,136.5455915,274.063122,158.2339,314.4518,626.8879,237.602142,429.643311,801.130554,0.6721,0.7321,0.7826,-10.79317041,0.910279551,11.70344996,-10.7065113,0.780386656,11.48689796,-10.69987734,0.619507199,11.31938454,acrylate_055
C([*])C([*])(C(=O)OCC(C)C),249,1.07,-30.28242543,-59.56294145,-118.1282772,55.7952542,110.2659934,221.7268,130.182,258.3479,514.6799,192.681702,344.695801,637.456055,0.6774,0.7496,0.8075,-10.80051897,0.912519849,11.71303881,-10.72153877,0.831932406,11.55347118,-10.72200428,0.662557671,11.38456195,acrylate_057
C([*])C([*])(C)(C(=O)OCC(C)C),326,1.05,-33.4491432,-65.89526958,-130.7794205,62.36480003,123.6787044,246.2966892,144.2079,286.3998,570.7839,220.384781,384.022247,715.664551,0.6556,0.746,0.7977,-10.63817097,0.939221098,11.57739207,-10.62222959,0.848317199,11.47054679,-10.45427514,0.782221422,11.23649657,acrylate_058
C([*])C([*])(C(=O)OC(C)C),270,1.11,-27.12025162,-53.24247237,-105.4761676,49.45316516,96.92791103,195.7174741,116.1561,230.2959,458.5759,176.456833,306.796875,564.696777,0.6653,0.7507,0.8122,-10.78550283,0.918906171,11.704409,-10.63428275,0.872425523,11.50670827,-10.68932343,0.698472365,11.38779579,acrylate_059
C([*])C([*])(C)(C(=O)OC(C)C),358,1.07,-30.28648449,-59.56599366,-118.1226423,55.9009612,110.7093449,220.7204066,130.182,258.3479,514.6799,202.174149,348.452454,635.118164,0.6445,0.7415,0.8104,-10.57822801,0.954103974,11.53233198,-10.34786637,0.920324953,11.26819132,-10.26625676,0.790398762,11.05665552,acrylate_060
C([*])C([*])(C(=O)OC1C=C(C)C=CC1),298,1.12,-36.6703137,-72.3442022,-143.6880636,82.91792272,164.4372948,324.4051194,166.2119,330.4079,658.8,207.390274,398.424896,730.014099,0.8023,0.8294,0.9025,-9.266969366,0.155295808,9.422265174,-9.055126208,0.277562044,9.332688252,-9.056856242,0.139218548,9.19607479,acrylate_061
